Instance,Population Size,Mutation Probability,Total Fleet Size,Min Bus Line/Ind,Min Vertices in a Bus Line,Max Vertices in a Bus Line,Transfer Penalty,Unreached Stop Penalty,Best Solution Operator Cost,Best Solution Passanger Cost,Total Time
Mumford0,200,0.1,15,6,10,4,20,200,24.11904761904762,57.842807458498946,3682.53825712204
Mumford0,200,0.1,15,6,10,4,20,200,26.40952380952381,49.851370703764324,3915.997222661972
Mumford0,200,0.1,15,6,10,4,20,200,24.833333333333332,69.57218844984803,3249.8125581741333
Mumford0,200,0.1,15,6,10,4,20,200,27.15,62.94938040682722,3308.369533777237
Mumford0,200,0.1,15,6,10,4,20,200,24.666666666666664,60.60724514846855,3569.187346458435
Mumford0,200,0.1,15,6,10,4,20,200,24.316666666666666,69.50286415711948,3741.618071079254
Mumford0,200,0.1,15,6,10,4,20,200,25.35,55.52637654898293,3778.715319633484
Mumford0,200,0.1,15,6,10,4,20,200,29.666666666666668,52.14160042085574,4203.960830450058
Mumford0,200,0.1,15,6,10,4,20,200,22.304761904761904,70.71861117605799,3562.1918449401855
Mumford0,200,0.1,15,6,10,4,20,200,23.866666666666667,61.19512801028758,4001.968897342682
Mumford0,200,0.25,15,6,10,4,20,120,25.714285714285715,54.79508124853869,2105.350283384323
Mumford0,200,0.25,15,6,10,4,20,120,23.72857142857143,69.46351122281973,3152.386025905609
Mumford0,200,0.25,15,6,10,4,20,120,26.950000000000003,57.90193184475099,3053.911229610443
Mumford0,200,0.25,15,6,10,4,20,120,24.416666666666664,63.07709843348141,3765.3540267944336
Mumford0,200,0.25,15,6,10,4,20,120,27.133333333333333,56.09169686696283,2668.385486602783
Mumford0,200,0.25,15,6,10,4,20,120,27.333333333333332,51.80940203413608,3512.5425815582275
Mumford0,200,0.25,15,6,10,4,20,120,26.466666666666665,57.165872691138645,3809.025783061981
Mumford0,200,0.25,15,6,10,4,20,120,22.266666666666666,70.1976999064765,2023.0810132026672
Mumford0,200,0.25,15,6,10,4,20,120,25.942857142857143,61.63638356324527,2123.526087284088
Mumford0,200,0.25,15,6,10,4,20,120,28.4,57.66036357259762,2334.399017095566
Mumford0,200,0.25,15,6,10,4,20,120,22.966666666666665,55.93121638999298,2615.174622774124
Mumford0,200,0.25,15,6,10,4,20,120,24.725,58.77051671732523,2838.4231123924255
Mumford0,200,0.25,15,6,10,4,20,120,24.216666666666665,60.51505143792378,2920.749881029129
Mumford0,200,0.25,15,6,10,4,20,120,24.9,58.532367898059384,3186.1702053546906
Mumford0,200,0.25,15,6,10,4,20,120,31.03333333333333,52.27950374093991,3268.6290442943573
Mumford0,200,0.25,15,6,10,4,20,120,21.547619047619047,64.82914425999532,3391.000298976898
Mumford0,200,0.5,15,6,10,4,20,120,25.799999999999997,47.962649053074585,2081.048704147339
Mumford0,200,0.5,15,6,10,4,20,120,23.966666666666665,56.07448269815291,2166.8129444122314
Mumford0,200,0.5,15,6,10,4,20,120,25.900000000000002,50.69254150105214,2112.1520524024963
Mumford0,200,0.5,15,6,10,4,20,120,26.738095238095237,57.30158405424363,2179.9464240074158
Mumford0,200,0.5,15,6,10,4,20,120,24.916666666666664,49.766775777414075,2955.26895403862
Mumford0,200,0.5,15,6,10,4,20,120,25.414285714285715,61.09130231470657,3012.204161167145
Mumford0,200,0.25,15,6,10,3,20,120,25.488095238095237,55.31157937806874,1993.6835560798645
Mumford0,200,0.25,15,6,10,3,20,120,22.866666666666667,58.776902618657935,1965.035052537918
Mumford0,200,0.5,15,6,10,4,20,120,28.554761904761904,53.686214051905544,2918.2674107551575
Mumford0,200,0.5,15,6,10,4,20,120,31.116666666666667,53.941503974748656,3128.6125588417053
Mumford0,200,0.5,15,6,10,4,20,120,29.11904761904762,48.818067570727145,3326.721782207489
Mumford0,200,0.25,15,6,10,3,20,120,25.166666666666664,54.22401800327332,1938.6579160690308
Mumford0,200,0.25,15,6,10,3,20,120,25.9,55.54833995791443,2495.8177869319916
Mumford0,200,0.5,15,6,10,3,20,120,21.999999999999996,59.87801028758476,1886.4565439224243
Mumford0,200,0.25,15,6,10,3,20,120,25.566666666666663,62.46719371054478,1902.9519650936127
Mumford0,200,0.25,15,6,10,3,20,120,24.933333333333337,51.046790974982464,2964.306414604187
Mumford0,200,0.25,15,6,10,3,20,120,22.53333333333333,58.30777998597148,1921.1059911251068
Mumford0,200,0.25,15,6,10,3,20,120,24.11904761904762,56.04179331306991,2945.1746451854706
Mumford0,200,0.5,15,6,10,3,20,120,25.783333333333335,48.9484305588029,1954.8283677101135
Mumford0,200,0.25,15,6,10,3,20,120,24.075,52.86336801496376,2941.639368057251
Mumford0,200,0.5,15,6,10,3,20,120,24.2,61.94324292728548,3284.866354942322
Mumford0,200,0.5,15,6,10,3,20,120,25.19047619047619,56.03844692541501,2817.7067670822144
